time,Hm0,Hsig,Hmax,Tz,Tm02,Tm01,Tp,DTp,Dp
14-Jun-2018 00:00:00,0.63,0.6,1.08,6.86,6.78,7.95,8.45,130,70
14-Jun-2018 00:30:00,0.64,0.6,0.93,7.11,7.27,8.2,8.41,80,70
14-Jun-2018 01:00:00,0.71,0.67,1.02,7.48,7.98,8.61,8.22,70,70
14-Jun-2018 01:30:00,0.63,0.6,1.1,7.51,8.1,8.81,11.46,170,80
14-Jun-2018 02:00:00,0.68,0.64,1.22,7.69,8.3,8.86,7.86,160,160
14-Jun-2018 02:30:00,0.65,0.62,1.04,7.56,8.17,8.84,10.84,70,70
14-Jun-2018 03:00:00,0.63,0.59,0.9,7.58,8.07,8.85,12.08,70,70
14-Jun-2018 03:30:00,0.69,0.66,0.98,7.68,8.12,9.2,12.16,130,80
14-Jun-2018 04:00:00,0.68,0.64,1.09,7.25,7.59,8.72,11.39,120,110
14-Jun-2018 04:30:00,0.69,0.67,1.07,7.64,7.45,8.76,11.46,140,140
14-Jun-2018 05:00:00,0.72,0.69,1.13,7.32,7.65,8.98,11.46,140,80
14-Jun-2018 05:30:00,0.64,0.6,1.07,7.42,7.28,8.6,11.46,160,150
14-Jun-2018 06:00:00,0.64,0.6,1.16,7.5,7.64,8.86,10.91,100,70
14-Jun-2018 06:30:00,0.73,0.7,1.24,7.89,8.51,9.45,10.78,90,70
14-Jun-2018 07:00:00,0.69,0.67,1.2,7.98,8.47,9.33,10.91,140,70
14-Jun-2018 07:30:00,0.79,0.75,1.18,7.24,6.96,8.59,11.04,130,90
14-Jun-2018 08:00:00,0.77,0.7,1.1,6.18,5.46,7.29,11.84,120,100
14-Jun-2018 08:30:00,0.82,0.74,1.23,5.7,4.99,6.61,10.47,100,100
14-Jun-2018 09:00:00,0.83,0.73,1.28,5.16,4.37,5.7,10.29,100,90
14-Jun-2018 09:30:00,0.82,0.71,1.19,5.41,4.62,6.08,10.91,110,100
14-Jun-2018 10:00:00,0.85,0.77,1.47,5.9,4.89,6.51,10.06,100,100
14-Jun-2018 10:30:00,0.83,0.73,1.5,5.34,4.65,6.08,10.98,80,90
14-Jun-2018 11:00:00,0.82,0.72,1.42,5.25,4.66,6.13,10.78,100,90
14-Jun-2018 11:30:00,0.85,0.74,1.12,5.3,4.57,5.97,10.78,110,100
14-Jun-2018 12:00:00,0.83,0.7,1.34,5.13,4.45,5.85,10.91,100,100
14-Jun-2018 12:30:00,0.86,0.79,1.31,5.71,4.72,6.2,11.32,90,100
14-Jun-2018 13:00:00,0.8,0.73,1.39,6.03,5.17,6.77,10.98,90,90
14-Jun-2018 13:30:00,0.82,0.75,1.61,5.94,5.15,6.81,10.91,100,90
14-Jun-2018 14:00:00,0.77,0.69,1.23,5.71,5.1,6.76,10.98,100,100
14-Jun-2018 14:30:00,0.73,0.67,1.09,6.17,5.33,7.03,11.04,100,100
14-Jun-2018 15:00:00,0.76,0.69,1.43,5.61,4.82,6.38,10.84,100,90
14-Jun-2018 15:30:00,0.79,0.69,1.37,5.27,4.78,6.26,10.78,90,90
14-Jun-2018 16:00:00,0.88,0.82,1.56,6.74,5.73,7.4,10.47,80,90
14-Jun-2018 16:30:00,0.7,0.62,1.21,5.8,4.58,6.03,10.98,100,90
